iter	RMSE	PrecisionAt:top=5	MAP:top=5
0	0.2048958541	0.04944444444	0.03824737654
1	0.2034288576	0.05477777778	0.04630138889
2	0.2021283123	0.06688888889	0.0579845679
3	0.2010059738	0.06977777778	0.0631595679
4	0.2000050241	0.07177777778	0.06540246914
5	0.1991625876	0.073	0.06691743827
6	0.1983947543	0.07455555556	0.07114212963
7	0.1977115432	0.07555555556	0.07222746914
8	0.1970486855	0.07788888889	0.07525385802
9	0.1964549525	0.08155555556	0.08149351852
10	0.1959628193	0.08144444444	0.0824992284
11	0.1954842494	0.08422222222	0.0852367284
12	0.1950241411	0.08411111111	0.08563410494
13	0.1946372255	0.08511111111	0.08849166667
14	0.1942758948	0.08688888889	0.09131959877
15	0.1939636556	0.08677777778	0.0907367284
16	0.1936342783	0.088	0.09177762346
17	0.1932904237	0.08877777778	0.0942662037
18	0.1929988213	0.091	0.09890725309
19	0.1927317683	0.09211111111	0.09955046296
20	0.1924868439	0.09155555556	0.0977029321
21	0.192262604	0.09088888889	0.09777608025
22	0.1920632272	0.09255555556	0.1005652778
23	0.1918646734	0.09244444444	0.0998117284
24	0.191676359	0.09377777778	0.1024316358
25	0.1914825766	0.09388888889	0.1028800926
26	0.1912852372	0.09422222222	0.1040904321
27	0.1911215904	0.09455555556	0.1048716049
28	0.1909768965	0.09544444444	0.1061817901
29	0.1908208804	0.09688888889	0.1070682099
30	0.1906780236	0.097	0.1075712963
31	0.1905431861	0.09733333333	0.1080759259
32	0.1904192332	0.09822222222	0.1083959877
33	0.1903232959	0.098	0.1084759259
34	0.1901739642	0.09888888889	0.1108074074
35	0.1900593117	0.09911111111	0.1109807099
36	0.1899635597	0.09922222222	0.1116820988
37	0.1898723498	0.1001111111	0.1125429012
38	0.1897566065	0.1004444444	0.112670216
39	0.1896527186	0.1011111111	0.1137472222
40	0.189561994	0.1013333333	0.1134057099
41	0.1894591907	0.1017777778	0.1137066358
42	0.1893721279	0.1016666667	0.1136601852
43	0.1892903641	0.102	0.1150404321
44	0.1892211962	0.1024444444	0.1155759259
45	0.1891227893	0.1032222222	0.1159933642
46	0.1890416197	0.1033333333	0.116133179
47	0.1889515357	0.1038888889	0.1163007716
48	0.1888634865	0.1052222222	0.1172285494
49	0.1887744629	0.1053333333	0.1171638889
50	0.1886960816	0.1056666667	0.1189901235
51	0.1886298785	0.1056666667	0.1189814815
52	0.1885577853	0.1063333333	0.1187891975
53	0.1884989384	0.1057777778	0.1196589506
54	0.1884233895	0.1056666667	0.1194527778
55	0.1883753113	0.1057777778	0.1195527778
56	0.1883015407	0.1054444444	0.1194966049
57	0.1882447195	0.1061111111	0.1197197531
58	0.188173202	0.106	0.1208651235
59	0.1881167973	0.1055555556	0.1200007716
60	0.1880667126	0.1056666667	0.1203871914
61	0.1880008134	0.1062222222	0.1211023148
62	0.1879434419	0.107	0.1209376543
63	0.1878955342	0.1065555556	0.1207941358
64	0.1878280992	0.1071111111	0.1208817901
65	0.1877630052	0.1073333333	0.1214075617
66	0.1877100345	0.1075555556	0.1215853395
67	0.1876520152	0.1078888889	0.1220615741
68	0.1876069299	0.1082222222	0.122533642
69	0.1875706049	0.1085555556	0.1227733025
70	0.1875169602	0.109	0.1241774691
71	0.1874839986	0.1096666667	0.1245001543
72	0.1874323815	0.11	0.1243935185
73	0.1873977966	0.1101111111	0.1243947531
74	0.1873526381	0.1098888889	0.1249695988
75	0.1873174879	0.1102222222	0.1252324074
76	0.1872828219	0.1105555556	0.1244003086
77	0.1872615772	0.1111111111	0.1250259259
78	0.187218988	0.111	0.1257584877
79	0.187182867	0.1113333333	0.126187037
80	0.1871371097	0.1118888889	0.1272212963
81	0.1870969641	0.1124444444	0.1277927469
82	0.1870623612	0.1126666667	0.1278638889
83	0.1870178599	0.1126666667	0.1274145062
84	0.1869854085	0.1127777778	0.1273654321
85	0.1869460007	0.1131111111	0.1274540123
86	0.186911639	0.1133333333	0.127675
87	0.186886725	0.1134444444	0.1278638889
88	0.1868234948	0.1137777778	0.1283280864
89	0.1868030522	0.114	0.1286162037
90	0.186744368	0.114	0.1286162037
91	0.1866935644	0.1137777778	0.1291944444
92	0.1866523076	0.1137777778	0.129458642
93	0.1866059503	0.1141111111	0.1298714506
94	0.1865750467	0.1143333333	0.1302958333
95	0.1865453565	0.1145555556	0.1302314815
96	0.1865113343	0.1151111111	0.130629784
97	0.1864627247	0.1155555556	0.1316949074
98	0.1864135441	0.1155555556	0.1315680556
99	0.1863885373	0.1157777778	0.1312921296
100	0.1863656602	0.1158888889	0.1315570988
101	0.1863300714	0.1155555556	0.1310234568
102	0.1863030231	0.1154444444	0.1309529321
103	0.186262129	0.1153333333	0.1312780864
104	0.1862207764	0.1162222222	0.1319020062
105	0.1861802492	0.1165555556	0.1316919753
106	0.1861567657	0.1166666667	0.1313790123
107	0.1861429616	0.1163333333	0.1312257716
108	0.1861165087	0.1161111111	0.1314273148
109	0.186086257	0.1167777778	0.1315263889
110	0.1860500148	0.1168888889	0.1318404321
111	0.1860285485	0.1171111111	0.1322229938
112	0.1859851906	0.1172222222	0.1323674383
113	0.1859523902	0.1171111111	0.1324708333
114	0.1859209276	0.1175555556	0.1326887346
115	0.1858912782	0.1177777778	0.1331115741
116	0.1858791846	0.1175555556	0.1329111111
117	0.1858515334	0.1183333333	0.1338825617
118	0.1858187052	0.1181111111	0.1337658951
119	0.1857702109	0.118	0.1336936728
120	0.1857315667	0.1181111111	0.1338654321
121	0.1857102026	0.1181111111	0.1340313272
122	0.1856766251	0.118	0.1343324074
123	0.1856553536	0.1184444444	0.1347873457
124	0.1856168932	0.1184444444	0.1348058642
125	0.1855992119	0.1186666667	0.1348128086
126	0.1855521602	0.1188888889	0.1355408951
127	0.1855243225	0.1188888889	0.1351882716
128	0.1854963712	0.119	0.1352276235
129	0.1854711567	0.1193333333	0.1361753086
130	0.1854355621	0.1195555556	0.1361910494
131	0.1853976476	0.1194444444	0.1360572531
132	0.1853760565	0.1197777778	0.1362466049
133	0.1853602785	0.1197777778	0.1363790123
134	0.1853399898	0.1204444444	0.1370737654
135	0.1853083589	0.1202222222	0.1366898148
136	0.1852826039	0.1208888889	0.1375078704
137	0.185254648	0.121	0.137525
138	0.1852123795	0.122	0.1385314815
139	0.1851785024	0.1218888889	0.1384462963
140	0.1851483071	0.1223333333	0.1386966049
141	0.1851102829	0.1222222222	0.1394873457
142	0.1850861075	0.1223333333	0.1396061728
143	0.1850586374	0.1228888889	0.1399501543
144	0.1850431369	0.1231111111	0.1405983025
145	0.1850230868	0.123	0.1405890432
146	0.1849990156	0.1228888889	0.1406407407
147	0.1849775949	0.123	0.1409148148
148	0.1849433973	0.1236666667	0.141300463
149	0.184908688	0.1238888889	0.1413655864
150	0.1848884714	0.124	0.1415544753
151	0.1848536833	0.1237777778	0.1418535494
152	0.1848307353	0.1238888889	0.1415091049
153	0.1847907828	0.1236666667	0.1413067901
154	0.1847566836	0.1241111111	0.141612963
155	0.1847264589	0.1243333333	0.1419472222
156	0.1847024141	0.1245555556	0.1424472222
157	0.1846843354	0.1246666667	0.1428324074
158	0.1846650862	0.1244444444	0.1426009259
159	0.1846377347	0.1245555556	0.1429686728
160	0.1846068539	0.1244444444	0.1429030864
161	0.1845824528	0.1246666667	0.1428665123
162	0.1845550683	0.1245555556	0.1431628086
163	0.184514414	0.1251111111	0.1437334877
164	0.1844887893	0.1257777778	0.1442251543
165	0.1844752865	0.1257777778	0.1440399691
166	0.1844502268	0.1256666667	0.1438824074
167	0.1844106206	0.1255555556	0.1440212963
168	0.1843859365	0.1255555556	0.1440212963
169	0.184359266	0.1256666667	0.1439027778
170	0.1843268885	0.1257777778	0.1440166667
171	0.1842989527	0.1257777778	0.1444226852
172	0.1842673242	0.126	0.144137963
173	0.1842402092	0.126	0.1441814815
174	0.1842132307	0.1256666667	0.1441520062
175	0.1841795447	0.1261111111	0.1445259259
176	0.1841473631	0.1261111111	0.1445259259
177	0.1841253958	0.1262222222	0.1446305556
178	0.1841063837	0.1264444444	0.1444753086
179	0.1840837807	0.1262222222	0.1445166667
180	0.1840549937	0.1266666667	0.1454236111
181	0.1840333979	0.127	0.1456319444
182	0.1840026107	0.1272222222	0.1466882716
183	0.1839630748	0.1271111111	0.1466646605
184	0.1839420507	0.1268888889	0.1466777778
185	0.1839254157	0.1268888889	0.1466098765
186	0.1838990063	0.1277777778	0.1465395062
187	0.1838715266	0.1277777778	0.1465395062
188	0.1838487501	0.1275555556	0.1466265432
189	0.1838202	0.1281111111	0.1468466049
190	0.1837835629	0.1285555556	0.1472601852
191	0.1837581342	0.1282222222	0.1470084877
192	0.1837358274	0.1281111111	0.1470294753
193	0.1837082144	0.1282222222	0.1471723765
194	0.1836753762	0.1283333333	0.1472385802
195	0.1836549816	0.1285555556	0.1471728395
196	0.183636498	0.1284444444	0.1472412037
197	0.1836125841	0.1287777778	0.1477981481
198	0.1835899446	0.1286666667	0.1474794753
199	0.183555014	0.1294444444	0.1482256173
200	0.1835313905	0.1296666667	0.1482308642
201	0.1835051559	0.129	0.1477595679
202	0.1834835925	0.1297777778	0.1485804012
203	0.1834612877	0.1296666667	0.1485063272
204	0.183447666	0.1295555556	0.1485112654
205	0.183421512	0.1293333333	0.1483692901
206	0.1833981785	0.1296666667	0.1495231481
207	0.1833844146	0.13	0.1496962963
208	0.1833639023	0.1297777778	0.1498455247
209	0.1833336328	0.13	0.1499223765
210	0.1833009912	0.1298888889	0.1498006173
211	0.183280408	0.1298888889	0.1498052469
212	0.1832600165	0.1295555556	0.1494705247
213	0.1832309013	0.1297777778	0.1500689815
214	0.1832045661	0.1297777778	0.1498388889
215	0.183180948	0.1298888889	0.1502018519
216	0.1831577283	0.1302222222	0.1501496914
217	0.1831332289	0.1303333333	0.1502978395
218	0.1831057838	0.1304444444	0.1503283951
219	0.1830846422	0.1304444444	0.1502787037
220	0.1830611827	0.1306666667	0.1505112654
221	0.1830458228	0.1306666667	0.1508091049
222	0.1830216668	0.1306666667	0.1508177469
223	0.1830014188	0.1307777778	0.1511509259
224	0.1829772327	0.1311111111	0.1511283951
225	0.182962435	0.1308888889	0.151353858
226	0.1829351362	0.1308888889	0.1512063272
227	0.1829178534	0.1312222222	0.1513242284
228	0.1828896745	0.1311111111	0.1512205247
229	0.1828677071	0.1311111111	0.1512205247
230	0.182851104	0.131	0.1515959877
231	0.1828288483	0.1311111111	0.1516503086
232	0.1828105859	0.1313333333	0.151832716
233	0.1827923128	0.1315555556	0.1520320988
234	0.1827733379	0.1312222222	0.1517623457
235	0.1827483964	0.1313333333	0.1518820988
236	0.1827308523	0.1312222222	0.1518708333
237	0.1827091799	0.1312222222	0.1518078704
238	0.1826896662	0.1313333333	0.1518171296
239	0.182669428	0.1315555556	0.1519679012
240	0.1826456019	0.1315555556	0.152720216
241	0.1826289796	0.1315555556	0.1528304012
242	0.1826015673	0.1316666667	0.1530902778
243	0.1825670499	0.1318888889	0.1532557099
244	0.1825476238	0.132	0.1536969136
245	0.1825219399	0.132	0.153667284
246	0.1824999141	0.1321111111	0.153804321
247	0.1824774548	0.132	0.1536677469
248	0.1824537387	0.1325555556	0.1539864198
249	0.1824250099	0.1326666667	0.1542530864
250	0.1823934758	0.1327777778	0.1543097222
251	0.182378313	0.1331111111	0.1545381173
252	0.1823612404	0.133	0.1549364198
253	0.1823416341	0.1331111111	0.1550429012
254	0.1823246125	0.1336666667	0.1558384259
255	0.1823011616	0.1341111111	0.1560648148
256	0.1822771728	0.1336666667	0.156212963
257	0.1822538175	0.1336666667	0.1563101852
258	0.1822343452	0.1345555556	0.1566578704
259	0.1822176267	0.1345555556	0.1564248457
260	0.1821851007	0.1344444444	0.1563300926
261	0.1821636145	0.1346666667	0.1565375
262	0.1821447766	0.1347777778	0.1568606481
263	0.1821291366	0.1346666667	0.1566141975
264	0.1821078137	0.1346666667	0.1565888889
265	0.1820774793	0.1346666667	0.156929321
266	0.1820616628	0.1347777778	0.1570257716
267	0.182039797	0.135	0.1573550926
268	0.1820204993	0.1353333333	0.1574822531
269	0.1820000612	0.1355555556	0.1576700617
270	0.1819776962	0.1353333333	0.1576
271	0.1819635022	0.1354444444	0.157587037
272	0.181949226	0.1354444444	0.158099537
273	0.1819263483	0.1355555556	0.1586027778
274	0.1819052049	0.1356666667	0.1587893519
275	0.1818893829	0.1357777778	0.1591939815
276	0.1818676742	0.136	0.159712963
277	0.1818519587	0.1362222222	0.1597777778
278	0.1818293365	0.1362222222	0.159649537
279	0.1818037287	0.1367777778	0.160291821
280	0.181777569	0.1368888889	0.1605131173
281	0.1817573744	0.137	0.1605242284
282	0.1817447749	0.1372222222	0.1606233025
283	0.1817235948	0.1372222222	0.1606887346
284	0.1816979596	0.137	0.1606328704
285	0.1816686412	0.1374444444	0.1608785494
286	0.1816487088	0.1373333333	0.1613594136
287	0.1816234416	0.1374444444	0.1610445988
288	0.1815993517	0.1378888889	0.1610671296
289	0.1815846861	0.1381111111	0.1614189815
290	0.1815670914	0.1382222222	0.1615467593
291	0.1815465633	0.1385555556	0.1619390432
292	0.1815269574	0.1387777778	0.1620933642
293	0.181507385	0.1385555556	0.1621560185
294	0.181482438	0.1386666667	0.1623208333
295	0.1814633324	0.1386666667	0.1629092593
296	0.1814331282	0.1386666667	0.1629660494
297	0.1814172211	0.1385555556	0.162957716
298	0.1813969803	0.1387777778	0.1632358025
299	0.1813733587	0.1386666667	0.1632216049
300	0.1813431852	0.1391111111	0.1633006173
301	0.1813282346	0.1393333333	0.1637361111
302	0.1813075018	0.1393333333	0.164583179
303	0.1812936462	0.1391111111	0.164308642
304	0.181280624	0.1394444444	0.1647780864
305	0.1812615682	0.1391111111	0.1644225309
306	0.1812467749	0.1392222222	0.1644123457
307	0.1812256703	0.1395555556	0.164633642
308	0.1812109033	0.1397777778	0.1648280864
309	0.1811913629	0.1396666667	0.1646753086
310	0.1811741	0.1401111111	0.1645688272
311	0.1811527314	0.14	0.1646549383
312	0.181138207	0.1405555556	0.1653688272
313	0.1811171494	0.1406666667	0.1655530864
314	0.1810994237	0.1408888889	0.1657030864
315	0.1810873106	0.141	0.1659382716
316	0.1810638462	0.1411111111	0.1659419753
317	0.1810439057	0.1412222222	0.1659716049
318	0.1810269	0.1408888889	0.1658117284
319	0.1810098876	0.1406666667	0.1661496914
320	0.1809994372	0.1412222222	0.1664862654
321	0.1809745408	0.1414444444	0.1667436728
322	0.1809541857	0.1414444444	0.166870216
323	0.1809376444	0.1411111111	0.1668186728
324	0.1809268337	0.1411111111	0.1665242284
325	0.1809082085	0.1414444444	0.1666316358
326	0.1808908048	0.142	0.1670640432
327	0.1808775597	0.1421111111	0.1671177469
328	0.1808638653	0.1423333333	0.1674260802
329	0.1808454849	0.1425555556	0.167583642
330	0.1808410448	0.1425555556	0.1676746914
331	0.1808212957	0.1427777778	0.1677712963
332	0.1808025299	0.1428888889	0.1678560185
333	0.1807886884	0.1427777778	0.1680958333
334	0.1807652031	0.1427777778	0.1681037037
335	0.180752707	0.1428888889	0.1680614198
336	0.1807357329	0.143	0.1677725309
337	0.1807203675	0.1433333333	0.1680063272
338	0.180706967	0.1433333333	0.1683057099
339	0.180684849	0.1433333333	0.1681359568
340	0.1806662978	0.144	0.1688976852
341	0.1806472083	0.1441111111	0.169104321
342	0.1806295091	0.1441111111	0.1690888889
343	0.1806024578	0.1442222222	0.1691925926
344	0.180583721	0.1442222222	0.1691185185
345	0.1805693983	0.1443333333	0.1692356481
346	0.1805552824	0.1444444444	0.169274537
347	0.1805334258	0.1443333333	0.1689881173
348	0.1805237848	0.1443333333	0.1689881173
349	0.1805085122	0.1445555556	0.169133179
350	0.1804797439	0.1445555556	0.1690498457
351	0.1804598527	0.1447777778	0.1692183642
352	0.1804504462	0.145	0.1692739198
353	0.1804339941	0.1451111111	0.1701319444
354	0.180420216	0.1451111111	0.1702955247
355	0.1803932143	0.1452222222	0.1703399691
356	0.1803721862	0.1452222222	0.1705220679
357	0.1803588897	0.1451111111	0.1705810185
358	0.1803397262	0.1452222222	0.1706652778
359	0.1803225426	0.1454444444	0.1711671296
360	0.1803026424	0.1452222222	0.1710912037
361	0.1802878412	0.1453333333	0.1710822531
362	0.1802677645	0.1454444444	0.1711359568
363	0.1802442207	0.1454444444	0.1710692901
364	0.1802218462	0.1455555556	0.1712865741
365	0.1801948839	0.1456666667	0.1716550926
366	0.1801811992	0.1455555556	0.171654784
367	0.1801739626	0.1456666667	0.1719498457
368	0.180160267	0.1457777778	0.172395216
369	0.1801432314	0.1458888889	0.1726165123
370	0.1801299825	0.1458888889	0.1723220679
371	0.1801133895	0.1456666667	0.1719541667
372	0.1801014762	0.1456666667	0.1725634259
373	0.1800845969	0.1457777778	0.1726035494
374	0.1800721721	0.1458888889	0.1726634259
375	0.1800585245	0.1457777778	0.1724597222
376	0.1800427367	0.1456666667	0.1725800926
377	0.180030056	0.1456666667	0.1725671296
378	0.1800133037	0.1455555556	0.172382716
379	0.1799985468	0.1456666667	0.1724665123
380	0.1799780513	0.1456666667	0.1722533951
381	0.1799561285	0.146	0.172854321
382	0.1799365355	0.1463333333	0.1729390432
383	0.179911144	0.1463333333	0.172908179
384	0.1798993197	0.1464444444	0.1734131173
385	0.1798841871	0.1465555556	0.1734705247
386	0.1798721199	0.1467777778	0.1737445988
387	0.1798537671	0.147	0.1738402778
388	0.1798357735	0.1467777778	0.1738800926
389	0.1798255041	0.1467777778	0.1737813272
390	0.1798203189	0.1468888889	0.1737535494
391	0.1798023405	0.1468888889	0.1738554012
392	0.1797916882	0.1472222222	0.173908179
393	0.1797676793	0.1472222222	0.1741094136
394	0.1797520356	0.1472222222	0.174266821
395	0.1797401863	0.1471111111	0.1742695988
396	0.1797224704	0.1473333333	0.1744195988
397	0.1797103848	0.1473333333	0.1740024691
398	0.1796972633	0.1472222222	0.1740950617
399	0.1796822036	0.1471111111	0.1740970679
400	0.1796719901	0.147	0.1739834877
401	0.1796671188	0.1468888889	0.1738501543
402	0.179653015	0.1472222222	0.174053858
403	0.179639847	0.1474444444	0.1742859568
404	0.1796214569	0.1477777778	0.1747549383
405	0.1796029975	0.1475555556	0.1745361111
406	0.1795842172	0.1476666667	0.1749262346
407	0.1795680048	0.1476666667	0.1750527778
408	0.1795511857	0.1476666667	0.1750405864
409	0.1795360793	0.1478888889	0.1753399691
410	0.1795217221	0.1482222222	0.1759180556
411	0.1795012004	0.148	0.1757009259
412	0.1794790418	0.1482222222	0.1757429012
413	0.17946774	0.1483333333	0.175708642
414	0.1794573059	0.1481111111	0.1758317901
415	0.1794404743	0.1481111111	0.1759564815
416	0.1794226741	0.148	0.1758898148
417	0.1793951791	0.1482222222	0.1761694444
418	0.1793788124	0.1482222222	0.1761496914
419	0.1793683527	0.1478888889	0.1759391975
420	0.1793593513	0.148	0.1758274691
421	0.1793537096	0.1483333333	0.1757219136
422	0.1793332286	0.1483333333	0.1757219136
423	0.1793103231	0.1482222222	0.1756265432
424	0.1792938832	0.1481111111	0.1756302469
425	0.1792850558	0.1481111111	0.1756501543
426	0.1792719653	0.148	0.1754569444
427	0.1792619078	0.1484444444	0.1759458333
428	0.179243662	0.1486666667	0.1760421296
429	0.1792259768	0.149	0.1766530864
430	0.1792107249	0.1491111111	0.1770003086
431	0.1791965219	0.1492222222	0.1775217593
432	0.179180802	0.1492222222	0.1776234568
433	0.1791649441	0.1493333333	0.1776234568
434	0.1791494045	0.1496666667	0.1784662037
435	0.1791264378	0.1497777778	0.1784078704
436	0.1791095204	0.1497777778	0.1784638889
437	0.1791005004	0.1498888889	0.1785850309
438	0.1790858558	0.1505555556	0.1788304012
439	0.1790756247	0.1504444444	0.1789243827
440	0.1790609268	0.1503333333	0.1790378086
441	0.1790416081	0.1505555556	0.179204321
442	0.1790279807	0.1505555556	0.1794691358
443	0.179014521	0.1506666667	0.1795432099
444	0.1789976878	0.1508888889	0.1794567901
445	0.1789871864	0.1508888889	0.1794753086
446	0.1789767105	0.1508888889	0.1800776235
447	0.1789663604	0.1512222222	0.1804334877
448	0.1789464501	0.1513333333	0.1803899691
449	0.1789342553	0.1512222222	0.1804273148
450	0.1789176437	0.1515555556	0.1807662037
451	0.1789037544	0.1515555556	0.1807472222
452	0.1788914454	0.1515555556	0.1807462963
453	0.1788819727	0.1514444444	0.1804044753
454	0.1788716154	0.1515555556	0.1806373457
455	0.1788562957	0.1514444444	0.1806188272
456	0.1788436613	0.1515555556	0.1805016975
457	0.1788290862	0.1515555556	0.1805958333
458	0.1788142036	0.1515555556	0.1806347222
459	0.1787968875	0.1514444444	0.1805958333
460	0.1787746898	0.1516666667	0.1808143519
461	0.1787608544	0.1515555556	0.1806884259
462	0.1787436971	0.1512222222	0.1805861111
463	0.178730487	0.1514444444	0.180682716
464	0.1787274273	0.1514444444	0.1807429012
465	0.1787089675	0.1516666667	0.1810239198
466	0.1786940937	0.1516666667	0.1809790123
467	0.1786817092	0.1518888889	0.1814316358
468	0.1786647258	0.1523333333	0.1820908951
469	0.1786453056	0.1524444444	0.1824578704
470	0.1786364963	0.1525555556	0.1825260802
471	0.1786202609	0.1527777778	0.1826233025
472	0.1786110594	0.1528888889	0.1827087963
473	0.1785984434	0.1531111111	0.1828739198
474	0.1785904681	0.1531111111	0.1829751543
475	0.1785740122	0.1531111111	0.1830140432
476	0.1785578031	0.153	0.1829817901
477	0.1785513849	0.1532222222	0.1833308642
478	0.1785328485	0.1532222222	0.1834021605
479	0.1785234474	0.1533333333	0.1834808642
480	0.1785147609	0.1534444444	0.1834850309
481	0.1785028004	0.1533333333	0.1834214506
482	0.178492635	0.1533333333	0.1834075617
483	0.1784806382	0.1533333333	0.1832705247
484	0.1784722403	0.1534444444	0.1834725309
485	0.1784574306	0.1535555556	0.1836155864
486	0.1784433404	0.1538888889	0.1844010802
487	0.1784305423	0.1542222222	0.1846177469
488	0.1784209476	0.1542222222	0.1845765432
489	0.1784075535	0.1542222222	0.184854321
490	0.1783955615	0.1538888889	0.1845415123
491	0.178378012	0.1537777778	0.1843785494
492	0.1783664364	0.1538888889	0.1844970679
493	0.1783522686	0.154	0.1845554012
494	0.1783410277	0.1537777778	0.184291821
495	0.1783312092	0.1538888889	0.1843242284
496	0.1783204396	0.1538888889	0.1843408951
497	0.1783018093	0.1538888889	0.1843408951
498	0.178288894	0.1538888889	0.1843964506
499	0.178280774	0.1538888889	0.1845546296
500	0.1782709979	0.1538888889	0.1845083333
501	0.1782601773	0.1541111111	0.1844932099
502	0.1782494852	0.1542222222	0.1846802469
503	0.1782482155	0.1543333333	0.1848654321
